model,difficulty,forward,inverse,rollout,world_model_score,ablation_name,inverse_gap,inverse_mask_mode,inverse_visible_interval,reveal_equations,description
Random baseline,medium,0.2064896486630984,0.2196726732229314,0.2056919265025465,0.2101254671668275,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Oracle simulator,easy,1.0,1.0,1.0,1.0,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Curve-fit baseline,easy,0.9791358279744576,0.7862776600412855,0.9063870520738286,0.8921788672342544,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Last-value baseline,easy,0.833475371242542,0.7417626133889539,0.7080240879000266,0.7557810305494593,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
gpt-4o,easy,0.966269769847252,0.1896076285067513,0.8717398702205961,0.6954591675944395,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Random baseline,easy,0.1440295058778442,0.2424013206348658,0.1886024881543498,0.191370243215553,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Oracle simulator,hard,1.0,1.0,1.0,1.0,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Last-value baseline,hard,0.6589231640474176,0.5419051324122782,0.1851399229228648,0.4343044581070547,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
gpt-4o,hard,0.7734635873065057,0.2366157629439929,0.1831950381234877,0.3763018203245446,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Curve-fit baseline,hard,0.3996502833454831,0.4751869107051961,0.1572284699787337,0.3253425462066972,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Random baseline,hard,0.1219943179578397,0.3242710969365933,0.0955764458059093,0.1721102027906936,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Oracle simulator,medium,1.0,1.0,1.0,1.0,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Curve-fit baseline,medium,0.8655567256116536,0.8240998974747697,0.599706901341656,0.7467797474625895,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Last-value baseline,medium,0.785984824269701,0.6571863307099582,0.518537532872119,0.6403663596427454,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
gpt-4o,medium,0.935498811191488,0.1645035303356186,0.6287114258266323,0.5814852727887849,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Random baseline,medium,0.2064896486630984,0.2196726732229314,0.2056919265025465,0.2101254671668275,A2_gap5_partial_noeq_main,5,partial_resistance,3,False,"Recommended main hidden-state condition: final resistance masked, sparse recent anchors visible."
Oracle simulator,easy,1.0,1.0,1.0,1.0,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Curve-fit baseline,easy,0.9791358279744576,0.8455599255154961,0.9063870520738286,0.9099635468765176,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Last-value baseline,easy,0.833475371242542,0.7421303843512599,0.7080240879000266,0.7558913618381512,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
gpt-4o,easy,0.9656453842223528,0.1748156274828595,0.8744639649607753,0.6919238894958739,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Random baseline,easy,0.1440295058778442,0.2424013206348658,0.1886024881543498,0.191370243215553,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Oracle simulator,hard,1.0,1.0,1.0,1.0,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
gpt-4o,hard,0.7752737218870184,0.2247985204925023,0.1778627244849463,0.3711667625078347,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Last-value baseline,hard,0.6589231640474176,0.3111896360854114,0.1851399229228648,0.3650898092089946,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Curve-fit baseline,hard,0.3996502833454831,0.5940099032810348,0.1572284699787337,0.3609894439794489,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Random baseline,hard,0.1219943179578397,0.3242710969365933,0.0955764458059093,0.1721102027906936,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Oracle simulator,medium,1.0,1.0,1.0,1.0,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Curve-fit baseline,medium,0.8655567256116536,0.8803729345807692,0.599706901341656,0.7636616585943893,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Last-value baseline,medium,0.785984824269701,0.5785190338342908,0.518537532872119,0.6167661705800451,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
gpt-4o,medium,0.9308393141263998,0.1736537083832548,0.6393891927278464,0.587103583844035,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Random baseline,medium,0.2064896486630984,0.2196726732229314,0.2056919265025465,0.2101254671668275,A3_gap8_all_masked_noeq,8,all_masked,3,False,Hard hidden-state condition: recent resistance fully hidden.
Oracle simulator,easy,1.0,1.0,1.0,1.0,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Curve-fit baseline,easy,0.9791358279744576,0.7862776600412855,0.9063870520738286,0.8921788672342544,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Last-value baseline,easy,0.833475371242542,0.7417626133889539,0.7080240879000266,0.7557810305494593,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
gpt-4o,easy,0.969655662783668,0.2550346077760107,0.9067341425940548,0.7301007382055256,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Random baseline,easy,0.1440295058778442,0.2424013206348658,0.1886024881543498,0.191370243215553,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Oracle simulator,hard,1.0,1.0,1.0,1.0,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Last-value baseline,hard,0.6589231640474176,0.5419051324122782,0.1851399229228648,0.4343044581070547,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
gpt-4o,hard,0.7979618064842041,0.2224878132567173,0.194055594114015,0.3837571235678824,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Curve-fit baseline,hard,0.3996502833454831,0.4751869107051961,0.1572284699787337,0.3253425462066972,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Random baseline,hard,0.1219943179578397,0.3242710969365933,0.0955764458059093,0.1721102027906936,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Oracle simulator,medium,1.0,1.0,1.0,1.0,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Curve-fit baseline,medium,0.8655567256116536,0.8240998974747697,0.599706901341656,0.7467797474625895,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Last-value baseline,medium,0.785984824269701,0.6571863307099582,0.518537532872119,0.6403663596427454,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
gpt-4o,medium,0.9494350212737817,0.2334277556918002,0.62462921895423,0.6047105206713665,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
Random baseline,medium,0.2064896486630984,0.2196726732229314,0.2056919265025465,0.2101254671668275,A4_gap5_partial_reveal_eq,5,partial_resistance,3,True,Equation-reveal ablation for the recommended main condition.
